# collected: 2026-09-23 08:02 KST
# window: 2026-09-22 00:00 ~ 2026-09-23 08:02 KST
# part 1 of 3, lines: 250
# format: date | media | title | url | tags

2026-09-23 02:54 | 아시아경제 | 李대통령 "호주 협력에 에너지 안정"…호주 총리 "韓은 좋은 우방국" - 아시아경제 | google:아시아경제 | sw
2026-09-23 01:45 | edie.net | From simplification to segmentation: Why ESRS-40a matters for UK businesses - edie.net | google:edie.net | bgb1
2026-09-23 01:36 | 아시아경제 | 구테흐스 유엔 사무총장 "AI 선도국, 냉전 때처럼 공동 안전장치 마련해야" - 아시아경제 | google:아시아경제 | sw
2026-09-23 01:14 | ESG Today | Verdane Invests in Environmental Markets Platform Xpansiv - ESG Today | google:ESG Today | bgb1
2026-09-23 00:43 | ESG경제 | 태양전지 효율 44%까지…정부, 중국산과 ‘가격’ 아닌 ‘기술’로 승부 - ESG경제 | google:ESG경제 | sw
2026-09-23 00:21 | ESG경제 | 배출권거래제 지침으로 배출량 공시 기업, 보완할 점은? - ESG경제 | google:ESG경제 | sw
2026-09-23 00:13 | 헤럴드경제 | [속보] 트럼프 “이란과 합의할지 소멸시킬지, 큰 결정할 것” - 헤럴드경제 | google:헤럴드경제 | sw
2026-09-23 00:00 | 뉴시스 | 이홍렬 "70대 되니 병 하나씩 늘어…욕은 줄었다" - 뉴시스 | google:뉴시스 | sw
2026-09-22 23:55 | 서울경제 | 한국타이어, ‘2026 걸프컵’ 공식 파트너십 체결 - 서울경제 | google:서울경제 | sw
2026-09-22 23:53 | 헤럴드경제 | [속보] 트럼프 “선거 직후에 이란과 합의하게 되리라 믿어” - 헤럴드경제 | google:헤럴드경제 | sw
2026-09-22 23:52 | 뉴시스 | '2연승' 한국 야구, 태국전 선발 오원석 낙점[나고야AG] - 뉴시스 | google:뉴시스 | sw
2026-09-22 23:49 | 서울경제 | 도봉구, 창동서 청년 음악축제 ‘OPCD 스테이지’ 개최 - 서울경제 | google:서울경제 | sw
2026-09-22 23:49 | 서울경제 | 강동구, ‘슬로우 조깅 운동교실’로 주민 건강관리 지원 - 서울경제 | google:서울경제 | sw
2026-09-22 23:49 | 서울경제 | 강북구, 학생들이 미래농업 직접 체험…‘스마트팜센터 체험 ’ - 서울경제 | google:서울경제 | sw
2026-09-22 23:25 | 헤럴드경제 | [속보] 李대통령, 이소영 중기부 장관·이정현 대검 차장 임명안 재가 - 헤럴드경제 | google:헤럴드경제 | sw
2026-09-22 23:03 | 아시아경제 | [뉴욕증시]2거래일 연속 유가 하락…나스닥 장중 최고치 - 아시아경제 | google:아시아경제 | sw
2026-09-22 23:00 | 뉴시스 | 3대3 남자 농구, 태국 이어 개최국 일본 꺾고 2연승 질주[나고야AG] - 뉴시스 | google:뉴시스 | sw
2026-09-22 22:58 | 헤럴드경제 | [속보] “트럼프, 조건 맞으면 뉴욕서 이란측과 회담하고 싶어해” - 헤럴드경제 | google:헤럴드경제 | sw
2026-09-22 22:52 | CSIS | Center for Strategic and International Studies | The 1926 Slavery Convention’s Centennial in Context - CSIS / Center for Strategic and International Studies | google:CSIS | Center for Strategic and International Studies | bgb2
2026-09-22 22:48 | 경향신문 | “트럼프, 조건 맞는다면 뉴욕서 이란과 회담하고 싶어” - 경향신문 | google:경향신문 | sw
2026-09-22 22:46 | BDO UK | ESRS-40a; shaping the future of CSRD reporting for Non-EU Groups - BDO UK | google:BDO UK | bgb1
