# collected: 2026-09-21 08:02 KST
# window: 2026-09-18 00:00 ~ 2026-09-21 08:02 KST
# part 3 of 5, lines: 250
# format: date | media | title | url | tags

2026-09-18 18:50 | safetimes.co.kr | '무재해' 외친 남광토건 … 사망사고 반복에 중처법 1심 유죄 | https://www.safetimes.co.kr/news/articleView.html?idxno=245844 | c9?
2026-09-18 18:48 | 매일경제 | 고수 ‘멋짐’ [MK포토] - 매일경제 | google:매일경제 | sw
2026-09-18 18:48 | 매일경제 | 고수 ‘방부제 외모’ [MK포토] - 매일경제 | google:매일경제 | sw
2026-09-18 18:47 | 매일경제 | 고수 ‘조각’ [MK포토] - 매일경제 | google:매일경제 | sw
2026-09-18 18:47 | seoultimes.news | 한미약품, 북경한미 채권 회수 때까지 신규거래 중단…CRO 조직 구성 | https://www.seoultimes.news/news/article.html?no=2000100062 | c15?
2026-09-18 18:38 | 아시아경제 | 이 대통령, 김성수 대법관 임명안 재가…임명동의안 통과 하루 만 - 아시아경제 | google:아시아경제 | sw
2026-09-18 18:37 | 아시아경제 | 여자배구, 난적 베트남 격파…조 1위로 8강 진출 확정 - 아시아경제 | google:아시아경제 | sw
2026-09-18 18:36 | 한국경제 | "생일엔 3억, 데뷔일엔 2억"…아이유, 올해만 6억 넘게 쾌척 - 한국경제 | google:한국경제 | sw
2026-09-18 18:32 | 헤럴드경제 | [속보] 李대통령, 김성수 대법관 임명안 재가 - 헤럴드경제 | google:헤럴드경제 | sw
2026-09-18 18:26 | 뉴시스 | 근대5종 간판 전웅태·서창완 등 여유 있게 결승 진출(종합)[나고야AG] - 뉴시스 | google:뉴시스 | sw
2026-09-18 18:25 | 서울경제 | 세수 회복에도 지출 더 늘어…공공부문 적자 83조 역대 최대 - 서울경제 | google:서울경제 | sw
2026-09-18 18:24 | newsworks.co.kr | ﻿기관투자자 특별감사 요청에…한미 "북경한미 내부통제 체계 강화" | https://www.newsworks.co.kr/news/articleView.html?idxno=854284 | c15?
2026-09-18 18:22 | 아시아경제 | 부산 친수공원에 3ｍ '무태상어' 출현 "먹이 찾다 길 잃은 듯" - 아시아경제 | google:아시아경제 | sw
2026-09-18 18:22 | hitnews.co.kr | 북경한미 특별 감사 요구에, 한미약품 "내부통제 강화중" | https://www.hitnews.co.kr/news/articleView.html?idxno=79259 | c15?
2026-09-18 18:17 | 뉴시스 | 북한 입촌식, 운영 미숙으로 1시간30분 지연 해프닝[나고야AG] - 뉴시스 | google:뉴시스 | sw
2026-09-18 18:13 | 서울경제 | 민희진 “아일릿이 뉴진스 표절했잖아” 1억 소송 결국… 법원 판단은 - 서울경제 | google:서울경제 | sw
2026-09-18 18:12 | sisaweek.com | 고려아연 온산제련소 공장서 추락사고… 최윤범 회장, '안전경영' 시험... | https://www.sisaweek.com/news/articleView.html?idxno=237987 | c9?
2026-09-18 18:11 | 아시아경제 | 남녀 정구, 단체전 동반 4강…한국 선수단 AG 첫 메달 확보 - 아시아경제 | google:아시아경제 | sw
2026-09-18 18:10 | 서울경제 | 클래리티 법 무산 이틀만에…美 SEC ‘토큰 주식’ 규제 푼다 - 서울경제 | google:서울경제 | sw
2026-09-18 18:09 | 서울경제 | “오픈AI, 챗GPT 개발에 기사 1000만 건 도둑질” - 서울경제 | google:서울경제 | sw
2026-09-18 18:09 | 서울경제 | 주식·펀드에 돈 몰리는 日…사상 첫 보험·연금 추월 - 서울경제 | google:서울경제 | sw
2026-09-18 18:07 | 대한경제 | 건설엔지니어링협회, 국토부와 정책간담회 개최 - 대한경제 | google:대한경제 | sw
2026-09-18 18:07 | 아시아경제 | "올 겨울엔 보일러 틀기 힘들겠네"…미·이란 전쟁의 부메랑 [주末머니] - 아시아경제 | google:아시아경제 | sw
2026-09-18 18:06 | 아주경제 | [인사] 산업통상부 - 아주경제 | google:아주경제 | sw
2026-09-18 18:05 | 연합뉴스 | '이현중 26점' 남자 농구, 12년 만에 결승 진출…은메달 확보 - 연합뉴스 | google:연합뉴스 | sw
2026-09-18 18:05 | 서울경제 | [단독] 한국거래소, 뉴욕서 K증시 세일즈…외국기업 ‘코스닥 IPO’ 유치전 [시그널] - 서울경제 | google:서울경제 | sw
2026-09-18 18:00 | 아시아경제 | 10차 석유최고가격 '동결'…"민생 안정 취지" - 아시아경제 | google:아시아경제 | sw
2026-09-18 17:59 | bravo.etoday.co.kr | 지역사회통합돌봄, 8페이지 - bravo.etoday.co.kr | google:bravo.etoday.co.kr | sw
2026-09-18 17:58 | 한국경제 | 美 '토큰 주식' 24시간 거래 길 열렸다 - 한국경제 | google:한국경제 | sw
2026-09-18 17:50 | 한국경제 | 대미투자 지연에 "동의 어려운 부분 있어" - 한국경제 | google:한국경제 | sw
2026-09-18 17:50 | khan.co.kr | 이 대통령 “전쟁 관여·개입하는 파병 없다”…청해부대 임무 확대 고심 - khan.co.kr | google:khan.co.kr | sw
2026-09-18 17:44 | 한국경제 | 美·日 금리인상에도…7000 넘보는 코스피 - 한국경제 | google:한국경제 | sw
2026-09-18 17:44 | 서울경제 | 구룡마을 ‘불법 망루’ 철거 나선 법원 - 서울경제 | google:서울경제 | sw
2026-09-18 17:44 | 한국경제 | "7천피 다시 가나요" 들썩…美·日 금리 올렸는데 '대반전' - 한국경제 | google:한국경제 | sw
2026-09-18 17:42 | 스포츠경향 | ‘케데헌’ 헌트릭스 멤버 ‘조이’, 레이 아미(REI AMI) 신곡 ‘2LOUD’ 발매 - 스포츠경향 | google:스포츠경향 | sw
2026-09-18 17:37 | 한국경제 | "현대차밖에 없다" 구글 러브콜…수만대 만드는 '이 차' 정체 - 한국경제 | google:한국경제 | sw
2026-09-18 17:37 | 아주경제 | [포토] 어디 갈지 너무 고민돼 - 아주경제 | google:아주경제 | sw
2026-09-18 17:36 | asiatime.co.kr | 지방이전 '일방통행' 뿔난 노조…"30일 2차 총파업" | https://www.asiatime.co.kr/article/20260918500296 | c10?
2026-09-18 17:35 | 아주경제 | [포토] 원하는 대학 위한 기다림 - 아주경제 | google:아주경제 | sw
2026-09-18 17:35 | 한국경제 | 하이닉스 손자회사 솔리다임…美에 첫 낸드 공장 설립 검토 - 한국경제 | google:한국경제 | sw
2026-09-18 17:34 | 아주경제 | [포토] 원하는 대학 찾아 상담해요 - 아주경제 | google:아주경제 | sw
2026-09-18 17:33 | 아주경제 | [포토] 북적북적한 전문대학 수시 입학정보박람회 - 아주경제 | google:아주경제 | sw
2026-09-18 17:29 | 서울경제 | 젠슨 황 “내년 엔비디아 칩 판매량, 올해의 2배로 늘릴 것” - 서울경제 | google:서울경제 | sw
2026-09-18 17:28 | ESG경제 | [지방정부에너지대전환]④ 한전과 지방정부, 이제 전력공급 넘어 산업을 함께 설계해야 - ESG경제 | google:ESG경제 | sw
2026-09-18 17:28 | bravo.etoday.co.kr | 관광 재취업부터 창업까지, 중장년 ‘다음 일자리’ 찾는다 - bravo.etoday.co.kr | google:bravo.etoday.co.kr | sw
2026-09-18 17:27 | ESG경제 | ‘탄소 제거 크레딧, CCUS 시장 성장 동력 - ESG경제 | google:ESG경제 | sw
2026-09-18 17:20 | zdnet.co.kr | 신세계I&C, 자사주 84만주 전량 소각·배당 확대…"주주가치 제고 본격화... | https://zdnet.co.kr/view/?no=20260918171913 | c17?
2026-09-18 17:12 | lec.co.kr | [칼럼] 산업재해보상보험법 제91조의12의 위헌 여부에 관한 심판을 제청... | http://www.lec.co.kr/news/articleView.html?idxno=752742 | c9?
2026-09-18 17:12 | pointe.co.kr | 신한금융, 주주환원 50% 넘어 '밸류업 2.0'으로…다음 과제는 ROE | https://www.pointe.co.kr/news/articleView.html?idxno=84975 | c17
2026-09-18 17:11 | 아시아경제 | '이선균 수사정보 유출' 검찰수사관 징역형 집행유예 - 아시아경제 | google:아시아경제 | sw
2026-09-18 17:09 | 스포츠경향 | 민희진, ‘아일릿 뉴진스 카피’ 1억 손배소 승소…法 “피해자 특정 안 돼” - 스포츠경향 | google:스포츠경향 | sw
2026-09-18 17:08 | 헤럴드경제 | [인사] 과학기술정보통신부 - 헤럴드경제 | google:헤럴드경제 | sw
2026-09-18 17:07 | khan.co.kr | 이 대통령 “농지전수조사, 투기세력 ‘강제 매각’ 선전은 진실 아냐…레버리지 ETF 부족함 있었다” - khan.co.kr | google:khan.co.kr | sw
2026-09-18 17:07 | 아시아경제 | 대한체육회, 日나고야 ‘코리아하우스’ 개관…韓 스포츠·문화 알린다 - 아시아경제 | google:아시아경제 | sw
2026-09-18 17:02 | 헤럴드경제 | 두산로보틱스, 신임 CEO로 권영민 사장 선임 - 헤럴드경제 | google:헤럴드경제 | sw
2026-09-18 17:02 | hg-times.com | 신한금융, 주주환원 '밸류업 2.0'..2026 한국IR대상 수상 | https://www.hg-times.com/news/articleView.html?idxno=305451 | c17
2026-09-18 16:58 | megaeconomy.co.kr | 이세걸 한국지역난방공사 상임감사위원 “ESG 예방감사로 지역혁신 뒷받... | https://www.megaeconomy.co.kr/news/newsview.php?ncode=1065599572508130 | c19?,c1?
2026-09-18 16:55 | 아주경제 | [포토] 제6회 한·중 미래 경제 협력 포럼 - 아주경제 | google:아주경제 | sw
2026-09-18 16:53 | 아주경제 | [포토] 다이빙 주한중국대사, 한·중 미래 경제 협력 포럼 참석 - 아주경제 | google:아주경제 | sw
2026-09-18 16:52 | 대한경제 | 대한건축학회, PC구조 설계기준 해설 및 실무 교육 실시 - 대한경제 | google:대한경제 | sw
2026-09-18 16:47 | 아주경제 | [포토] 한·중 미래 경제 협력 포럼에서 축사하는 다이빙 주한중국대사 - 아주경제 | google:아주경제 | sw
2026-09-18 16:46 | 아주경제 | [포토] 한·중 미래 경제 협력 포럼에서 축사하는 곽영길 아주미디어그룹 회장 - 아주경제 | google:아주경제 | sw
2026-09-18 16:46 | e-platform.net | 에너지정보문화재단, 지자체 공무원 탄소중립 역량 강화 '앞장' | http://www.e-platform.net/news/articleView.html?idxno=105545 | c1?
2026-09-18 16:44 | e-science.co.kr | 동원산업 자회사 스타키스트 공급망, 대만 원양어선서 노동인권 관련 의... | https://www.e-science.co.kr/news/articleView.html?idxno=135795 | c8?
2026-09-18 16:42 | 이투데이 | 아시아증시, 日 금리인상에도 상승⋯닛케이 1.4%↑ - 이투데이 | google:이투데이 | sw
2026-09-18 16:40 | womaneconomy.co.kr | [김현우의 핫스팟] 국정감사인가, 감정장사인가···10월 국감도 밥그릇... | https://www.womaneconomy.co.kr/news/articleView.html?idxno=258894 | c9?
2026-09-18 16:39 | 서울경제 | 美 압박에 올린 BOJ 금리…엔화 못 웃고 원·달러 환율 소폭 상승 [김혜란의 FX] - 서울경제 | google:서울경제 | sw
2026-09-18 16:37 | 아시아경제 | 두산로보틱스, 신임 CEO에 권영민 두산모트롤 사장 선임 - 아시아경제 | google:아시아경제 | sw
2026-09-18 16:33 | 대한경제 | 두산로보틱스 새 CEO에 권영민 두산모트롤 대표 - 대한경제 | google:대한경제 | sw
2026-09-18 16:30 | ikld.kr | 서울교통공사, 지하철 안전사고 예방 직원 3명 표창ⵈ "현장 중심 안전... | http://www.ikld.kr/news/articleView.html?idxno=340988 | c9?
2026-09-18 16:26 | biztribune.co.kr | 하동근 한난 사장, 'AX 경영' 드라이브… 2030 중대재해 제로 목표 | http://www.biztribune.co.kr/news/articleView.html?idxno=359291 | c11?,c9?
2026-09-18 16:16 | pinpointnews.co.kr | 서울교통공사, 사고예방 아이디어 직원 3명 표창 | https://www.pinpointnews.co.kr/news/articleView.html?idxno=488542 | c9?
2026-09-18 16:16 | khan.co.kr | 김민석, 이 대통령 기자회견에 “저부터 몸 낮추겠다”…조국 “국정동력 회복, 민주당 태도에 달려” - khan.co.kr | google:khan.co.kr | sw
2026-09-18 16:14 | khan.co.kr | 암 치료 ‘세계 톱10’에 국내 병원 2곳 올라···뉴스위크 선정 - khan.co.kr | google:khan.co.kr | sw
2026-09-18 16:09 | 한국경제 | 한국 경기에 애국가 아닌 북한 국가를…아시안게임 '황당 실수' - 한국경제 | google:한국경제 | sw
2026-09-18 16:09 | 한국경제 | 김종철 산업부 자원산업정책관, 제9대 인천경제자유구역청장 취임 - 한국경제 | google:한국경제 | sw
2026-09-18 16:00 | whitepaper.co.kr | 신한금융, '한국IR대상' 대상…밸류업 2.0·주주환원 평가 | http://www.whitepaper.co.kr/news/articleView.html?idxno=267026 | c17
2026-09-18 16:00 | 매일노동뉴스 | 국제성모병원 노사 임단협 조인, 기본급 4.9% 인상 - 매일노동뉴스 | google:매일노동뉴스 | sw
2026-09-18 16:00 | 매일노동뉴스 | 원청 사용자성 판단 지연되면? “잠정교섭부터 시작해야” - 매일노동뉴스 | google:매일노동뉴스 | sw
