# collected: 2026-09-23 08:02 KST
# window: 2026-09-22 00:00 ~ 2026-09-23 08:02 KST
# part 3 of 3, lines: 225
# format: date | media | title | url | tags

2026-09-22 09:57 | sedaily.com | 대통령 지적에…법무부, 수사 인력 70% 줄이고 검사 정원 축소 추진 | https://www.sedaily.com/article/20093803?ref=naver | b12?
2026-09-22 09:56 | 한국경제 | "앞으로 적당히 먹겠습니다"…쯔양 '깜짝 선언'하더니 반전 - 한국경제 | google:한국경제 | sw
2026-09-22 09:54 | 한국경제 | "잘나가는 대표님 車 같더라"…한소희가 타고 등장한 SUV 정체 - 한국경제 | google:한국경제 | sw
2026-09-22 09:54 | 아시아경제 | 메타 AI 에이전트 '뮤즈' 흥행에 주가도 급등 - 아시아경제 | google:아시아경제 | sw
2026-09-22 09:54 | 한국경제 | [단독] "해 뜨면 돈 꽂힐 줄 알았는데"…10곳 중 9곳 '요건 미흡' - 한국경제 | google:한국경제 | sw
2026-09-22 09:54 | 아시아경제 | 트럼프 관세 환급금 쌓아두는 美 기업들…금리인상기 유동성 풀릴까 - 아시아경제 | google:아시아경제 | sw
2026-09-22 09:52 | 아시아경제 | 강원도교육청, 추석 연휴 학교·교육기관 473곳 주차장 무료 개방 - 아시아경제 | google:아시아경제 | sw
2026-09-22 09:50 | hidomin.com | 출범 D-10 공소청, 검사 정원 80~85%로…수사인력 70% 감축 | https://www.hidomin.com/news/articleView.html?idxno=722244 | b12?
2026-09-22 09:50 | jeonmae.co.kr | 공소청, 검사 정원 80~85%로 출범…수사인력도 대폭 감축 | https://www.jeonmae.co.kr/news/articleView.html?idxno=1295750 | b12?
2026-09-22 09:50 | ikbc.co.kr | 대통령 지적한 공소청 직제안 다시 나왔다… 검사 정원 80∼85%로 축소 출... | https://www.ikbc.co.kr/article/view/kbc202609220023 | b12?
2026-09-22 09:50 | 이투데이 | [특징주] 심텍, 美 기술주 랠리·반도체 수출 호조에 장 초반 17%대 강세 - 이투데이 | google:이투데이 | sw
2026-09-22 09:49 | 매일경제 | 조나단 취향 독특하네…손예진 ‘클래식’에 울고 빼꼼 맨발엔 “자극적” - 매일경제 | google:매일경제 | sw
2026-09-22 09:49 | 아시아경제 | SDT, 아이온큐와 아태지역 전략적 파트너십 - 아시아경제 | google:아시아경제 | sw
2026-09-22 09:48 | 아시아경제 | 이형일 부총리, 취임식 대신 첫 공식 일정으로 1급 간부회의 - 아시아경제 | google:아시아경제 | sw
2026-09-22 09:42 | newsis.com | 공소청 수사관 인력 70% 줄인다…사법통제부→'불송치심사부' 명칭 변경 | https://www.newsis.com/view/NISX20260922_0003799660 | b12?
2026-09-22 09:42 | 이투데이 | 추석 연휴 4일간 고속도로 통행료 면제·주유소 기름값 ℓ당 100원 인하 - 이투데이 | google:이투데이 | sw
2026-09-22 09:41 | 한국경제 | 여장하고 여자화장실 들어간 60대…5분 만에 시민 신고 - 한국경제 | google:한국경제 | sw
2026-09-22 09:41 | mk.co.kr | 공소청 수사인력 70% 감축...검사 정원도 80~85% 수준으로 | https://www.mk.co.kr/article/12158969 | b12?
2026-09-22 09:40 | gukjenews.com | [속보] 법무부, 검사 정원 축소 추진...수사 인력 70% 줄인다 | https://www.gukjenews.com/news/articleView.html?idxno=3703000 | b12?
2026-09-22 09:40 | imaeil.com | 공소청 검사 정원 80~85%로 출범…사법통제부→불송치심사부 등 논란 부... | https://www.imaeil.com/page/view/2026092209372202795 | b12?
2026-09-22 09:40 | 스포츠경향 | [스경X이슈] 김다현 무대 공개되자 여론 반전 “영상 보니 심수봉 말 이해돼” - 스포츠경향 | google:스포츠경향 | sw
2026-09-22 09:39 | 헤럴드경제 | “사람이 떠 있는 것 같다”…부천 굴포천서 30대 남성 숨진 채 발견 - 헤럴드경제 | google:헤럴드경제 | sw
2026-09-22 09:39 | segye.com | 또 럼 베트남 주석 “미국과 무역합의 근접”… 중국산 우회수출 의혹엔... | https://www.segye.com/newsView/20260922504559?OutUrl=naver | b30?
2026-09-22 09:37 | 뉴시스 | "횡성 찾는 핵심층은 40대 여성"…관광객 설문 - 뉴시스 | google:뉴시스 | sw
2026-09-22 09:36 | breaknews.com | [사각지대] 사망신고 뒤 ‘부정 의심’ 정부 추정 14만9000건…신고 전 ... | http://www.breaknews.com/1238421 | b13?
2026-09-22 09:34 | 헤럴드경제 | “술 취하면 여장하고 싶어” 60대 男, 女 화장실 갔다가 체포 - 헤럴드경제 | google:헤럴드경제 | sw
2026-09-22 09:33 | newspim.com | 법무부, 공소청 직제안 발표…검찰청 수사인력 70% 감축 | https://www.newspim.com/news/view/20260922000265 | b12?
2026-09-22 09:33 | news.tf.co.kr | 공소청 수사관 70% 감축…검사 정원 공판부로 재배치 | https://news.tf.co.kr/read/life/2368681.htm | b12?
2026-09-22 09:31 | 임팩트온 | 【데일리 ESG 정책 브리핑】K-배터리 R&D·산업용수 재이용 확대 - 임팩트온 | google:임팩트온 | sw
2026-09-22 09:30 | 연합뉴스 | [속보] 공소청 수사인력 70% 감축…나머지 수사외 업무로 전환 - 연합뉴스 | google:연합뉴스 | sw
2026-09-22 09:30 | 매일경제 | MK Pick / 올리페페 ‘수제 티라미수 기프트 박스’ 출시, 추석·기념일 선물로 제안 - 매일경제 | google:매일경제 | sw
2026-09-22 09:30 | 이투데이 | 중저신용자 대출 늘린 온투업체 규제 완화…개인 투자한도 5000만원으로 - 이투데이 | google:이투데이 | sw
2026-09-22 09:29 | 연합뉴스 | 코스피, 美증시 훈풍 힘입어 장 초반 2%대 오른 7,100대(종합) - 연합뉴스 | google:연합뉴스 | sw
2026-09-22 09:28 | ESG경제 | [해외브리핑] EU, 데이터센터 전력·용수 효율 공개 의무화 추진 - ESG경제 | google:ESG경제 | sw
2026-09-22 09:28 | ESG경제 | [정책브리핑] 산업계 '워터포지티브' 확대...포스코-기후부 협약 - ESG경제 | google:ESG경제 | sw
2026-09-22 09:27 | 매일경제 마켓 | [MK시그널] 네패스아크, 대규모 설비 투자에 따른 생산능력 확대 기대감 등에 주가 상승세... MK시그널 추천 후 상승률 24.58% 기록 - 매일경제 마켓 | google:매일경제 마켓 | sw
2026-09-22 09:27 | 이투데이 | ‘KBO 다승 공동 1위’ 최민석, 홍콩전 선발⋯태극마크 데뷔 [아시안게임] - 이투데이 | google:이투데이 | sw
