# collected: 2026-09-08 18:15 KST
# window: 2026-09-07 00:00 ~ 2026-09-08 18:15 KST
# part 3 of 3, lines: 19
# format: date | media | title | url | tags

2026-09-07 08:36 | news1.kr | 삼성물산, 신세계百 강남점·센텀시티점 'GLXY 스튜디오' 오픈 | https://www.news1.kr/industry/distribution/6281622 | a5
2026-09-07 08:30 | m-i.kr | 삼성물산 패션부문 '갤럭시', 글로벌 브랜드 더한 '스튜디오'로 거점 상... | https://www.m-i.kr/news/articleView.html?idxno=1410530 | a5
2026-09-07 08:28 | smarttoday.co.kr | [정비사업 디코드] 삼성·롯데·GS·포스코·IPARK현산, 미아2구역 시공... | https://www.smarttoday.co.kr/ko-kr/articles/111217 | a3
2026-09-07 08:27 | yna.co.kr | 에버랜드, 이머시브 호러 테마존 '블러드시티 제로' 12일 오픈 | https://www.yna.co.kr/view/PYH20260907023100013?input=1196m | a6
2026-09-07 08:21 | 아시아경제 | "The Horror Capital That Drew 10 Million Visitors: Everland Teams Up with Film Director for Zombie Escape in the City" - 아시아경제 | google:아시아경제 | aen1
2026-09-07 08:21 | view.asiae.co.kr | "1000만명 몰린 호러 성지"…에버랜드, 영화감독 손잡고 좀비 도심 탈출... | https://view.asiae.co.kr/article/2026090708212924487 | a6
2026-09-07 08:20 | thefairnews.co.kr | "좀비 영화 주인공이 되다"…에버랜드, 몰입형 호러 '블러드시티 제로'... | https://www.thefairnews.co.kr/news/articleView.html?idxno=87226 | a10,a12,a6,a7
2026-09-07 08:19 | news1.kr | 에버랜드 '블러드시티 제로'에서 추억 남겨요 | https://www.news1.kr/photos/8091256 | a6
2026-09-07 08:12 | thebell.co.kr | [더벨]삼성물산 미국 파트너 된 IMM인베, '인프라 확장' 맞손 | https://www.thebell.co.kr/free/content/ArticleView.asp?key=202609021636358640101793 | a10,a2,a4,a7
2026-09-07 08:12 | dealsite.co.kr | 나진상가-KKR 데이터센터-삼성물산까지…IMM의 변신 | https://dealsite.co.kr/articles/168331 | a4
2026-09-07 08:12 | newstree.kr | [기후리더] 제약·바이오 부문 1위 '대웅제약'...A 이상은 3곳뿐 | https://www.newstree.kr/newsView/ntr202608250020 | a9
2026-09-07 08:00 | ftoday.co.kr | 삼성물산 패션 GLXY, 신개념 매장 'GLXY 스튜디오'…센텀시티·강남점 동... | http://www.ftoday.co.kr/news/articleView.html?idxno=364895 | a10,a12,a5,a7
2026-09-07 07:34 | newsroad.co.kr | 삼성물산 GLXY, 'GLXY 스튜디오'로 남성 캐주얼 편집 공간 승부수 | http://www.newsroad.co.kr/news/articleView.html?idxno=63874 | a5
2026-09-07 07:25 | Jernih.co | Apakah Perusahaan Perkebunan Asing Mengagunkan HGU? - Jernih.co | google:Jernih.co | aid11
2026-09-07 07:01 | Seoul Economic Daily | Samsung Biologics Raises 3 Trillion Won to Enter Peptide CDMO Market - Seoul Economic Daily | google:Seoul Economic Daily | aen3
2026-09-07 06:30 | mt.co.kr | 일단 때리고 보자? 과징금·기업조사 폭주…기업들만 멍든다 | https://www.mt.co.kr/living/2026/09/07/2026090618313936874 | a12
2026-09-07 04:07 | Enerdata | Studsvik selects GE and Samsung for a 1.2 GW SMR project in Sweden - Enerdata | google:Enerdata | aen1
2026-09-07 01:22 | LiputanOke.Com | Bentrokan Pecah di Kuansing, 9 Orang Luka-Luka Akibat Konflik Lahan - LiputanOke.Com | google:LiputanOke.Com | aid9
2026-09-07 00:46 | Kilasriau.com | Kesepakatan Baru Sehari, Sengketa Kebun 80 Hektare di Muara Langsat Pecah Berdarah: 9 Orang Terluka - Kilasriau.com | google:Kilasriau.com | aid9
